idx,source,model,question,reference,generated,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1,latency_s,accuracy,completeness,clarity,safety,rationale,judge_latency_s
0,drugbank-mechanism_of_action,GPT-5.5,How does Trimethobenzamide work?,"The mechanism of action of trimethobenzamide as determined in animals is obscure, but may involve the chemoreceptor trigger zone (CTZ), an area in the medulla oblongata through which emetic impulses are conveyed to the vomiting center; direct impulses to the vomiting center apparently are not similarly inhibited.","Trimethobenzamide is an antiemetic, meaning it helps prevent or reduce nausea and vomiting. It works mainly by acting on the chemoreceptor trigger zone in the brain, an area that detects nausea-provoking signals in the blood and can activate the vomiting center.

Its exact mechanism is not fully understood, but it is thought to reduce stimulation of this vomiting pathway, partly through antidopaminergic effects. By dampening these signals, trimethobenzamide helps decrease the urge to vomit.",0.3934426229508197,0.1166666666666666,0.2622950819672131,0.8310733,0.84683305,0.8388792,12.523225799988722,9.0,9.0,9.0,10.0,"Accurately describes the largely unclear mechanism and likely action at the CTZ, with clear wording and no unsafe advice; only minor extrapolation beyond the reference.",3.3903359999821987
0,drugbank-mechanism_of_action,QLoRA Qwen,How does Trimethobenzamide work?,"The mechanism of action of trimethobenzamide as determined in animals is obscure, but may involve the chemoreceptor trigger zone (CTZ), an area in the medulla oblongata through which emetic impulses are conveyed to the vomiting center; direct impulses to the vomiting center apparently are not similarly inhibited.","The mechanism of action of trimethobenzamide is unknown. It may act as an antagonist at muscarinic receptors in the gastrointestinal tract. The anticholinergic activity of this drug results from its ability to inhibit acetylcholine release by inhibiting cholinesterase, which normally degrades it.",0.3595505617977527,0.1379310344827586,0.3146067415730337,0.82682514,0.80683106,0.8167057,2.7075115999905397,1.0,2.0,6.0,2.0,The answer correctly notes the mechanism is uncertain but then gives incorrect anticholinergic/cholinesterase claims and misses the key possible action at the chemoreceptor trigger zone in the medulla.,2.5416219999897294
0,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Trimethobenzamide work?,"The mechanism of action of trimethobenzamide as determined in animals is obscure, but may involve the chemoreceptor trigger zone (CTZ), an area in the medulla oblongata through which emetic impulses are conveyed to the vomiting center; direct impulses to the vomiting center apparently are not similarly inhibited.","Trimethobenzamide is an antihistamine that blocks histamine receptors in the central nervous system and peripheral tissues. It also inhibits the activity of cyclooxygenase (specifically COX-1) which produces prostaglandins from arachidonic acid. Prostaglandin E2, a major metabolite of arachidonic acid, is responsible for vasodilation and is involved in allergic reactions. By blocking these pathways, trimethobenzamide reduces the release of histamine from mast cells and prevents allergic symptoms such as pruritus, rhinitis, conjunctivitis, urticaria, anaphylaxis, bronchospasm, and flushing.",0.2258064516129032,0.0163934426229508,0.1129032258064516,0.7788408,0.78064454,0.7797416,0.753259999997681,0.0,0.0,6.0,2.0,"The answer is clearly written but medically incorrect, misclassifying trimethobenzamide as an antihistamine/COX inhibitor and failing to mention its antiemetic action via the chemoreceptor trigger zone.",3.0900477999821305
1,drugbank-mechanism_of_action,GPT-5.5,How does Mineral oil work?,"Mineral oil sits on the surface of the skin and in spaces between cells and provides a hydrophobic barrier. This barrier prevents trans-epidermal water loss to trap water in the skin. Overall this leads to greater hydration, flexibility, and softness of the stratum corneum.","Mineral oil works mainly as a lubricant. When taken as a laxative, it coats the stool and the lining of the intestines, helping keep water in the stool so it stays softer and passes more easily.

When used on the skin, mineral oil forms a protective oily layer that reduces water loss, helping moisturize and soften dry or irritated skin. It can also soften substances like earwax by loosening and lubricating them.",0.3076923076923077,0.1217391304347826,0.2051282051282051,0.8154402,0.8398485,0.8274644,5.7175742000108585,8.0,9.0,9.0,8.0,"Clear and mostly accurate; it correctly explains the skin barrier mechanism and adds other uses, though it broadens beyond the likely intended dermatologic context.",2.21735500000068
1,drugbank-mechanism_of_action,QLoRA Qwen,How does Mineral oil work?,"Mineral oil sits on the surface of the skin and in spaces between cells and provides a hydrophobic barrier. This barrier prevents trans-epidermal water loss to trap water in the skin. Overall this leads to greater hydration, flexibility, and softness of the stratum corneum.","Mineral oil is a non-absorbable hydrocarbon with low molecular weight that acts as an emollient and lubricant. It has been shown to improve skin barrier function, reduce inflammation, and prevent water loss from the skin.",0.3209876543209876,0.0759493670886075,0.2222222222222222,0.8375796,0.84523094,0.84138787,0.6293552999850363,9.0,8.0,9.0,10.0,"Accurate and clear description of mineral oil as an emollient that reduces water loss, though it omits the specific hydrophobic surface barrier mechanism and stratum corneum effects.",2.0866894999926444
1,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Mineral oil work?,"Mineral oil sits on the surface of the skin and in spaces between cells and provides a hydrophobic barrier. This barrier prevents trans-epidermal water loss to trap water in the skin. Overall this leads to greater hydration, flexibility, and softness of the stratum corneum.","Mineral oil is an emollient that provides physical and chemical protection to the skin. It has anti-inflammatory properties which may be useful in treating dry, itchy, or scaly skin conditions such as eczema. Mineral oil also helps to reduce the appearance of fine lines and wrinkles by reducing the effects of aging on the skin.",0.3366336633663365,0.0808080808080808,0.198019801980198,0.8218926,0.830927,0.82638514,0.3833212000026833,5.0,4.0,7.0,8.0,"Clear and generally harmless, but it misses the key mechanism of forming an occlusive barrier to reduce transepidermal water loss and adds questionable claims about anti-inflammatory and anti-aging effects.",1.9029237999930049
2,medquad,GPT-5.5,How many people are affected by prekallikrein deficiency ?,"The prevalence of prekallikrein deficiency is unknown. Approximately 80 affected individuals in about 30 families have been described in the medical literature. Because prekallikrein deficiency usually does not cause any symptoms, researchers suspect that most people with the condition are never diagnosed.","Prekallikrein deficiency is very rare. Its exact prevalence is unknown, but severe inherited prekallikrein deficiency is estimated to affect fewer than 1 in 1,000,000 people.

Only a small number of cases have been reported in the medical literature, and many people are found incidentally because the condition usually does not cause bleeding symptoms.",0.5360824742268041,0.2526315789473684,0.3711340206185567,0.8667603,0.89548826,0.8808902,5.966848700016271,9.0,8.0,9.0,10.0,"Accurate and clear summary that captures the rarity and unknown prevalence, though it omits the reference’s approximate reported case/family counts and adds an unreferenced prevalence estimate.",2.305953300005058
2,medquad,QLoRA Qwen,How many people are affected by prekallikrein deficiency ?,"The prevalence of prekallikrein deficiency is unknown. Approximately 80 affected individuals in about 30 families have been described in the medical literature. Because prekallikrein deficiency usually does not cause any symptoms, researchers suspect that most people with the condition are never diagnosed.",Prekallikrein deficiency is very rare; only about 100 cases have been reported worldwide.,0.2181818181818181,0.1132075471698113,0.2181818181818181,0.90998423,0.84850353,0.8781692,0.502475899993442,8.0,5.0,9.0,10.0,"Clear and safe, but it slightly overstates the reported case count and omits that true prevalence is unknown and likely underdiagnosed because the condition is usually asymptomatic.",2.6465550000139046
2,medquad,QLoRA Llama-3.2,How many people are affected by prekallikrein deficiency ?,"The prevalence of prekallikrein deficiency is unknown. Approximately 80 affected individuals in about 30 families have been described in the medical literature. Because prekallikrein deficiency usually does not cause any symptoms, researchers suspect that most people with the condition are never diagnosed.","Prekallikrein deficiency is estimated to affect 1 in every 100,000 newborns in the United States. It occurs more frequently in people of Ashkenazi Jewish descent than in any other ethnic group.",0.2702702702702702,0.0833333333333333,0.2162162162162162,0.8079313,0.83851165,0.82293755,0.2784653000126127,1.0,2.0,8.0,6.0,The answer is clear but gives a likely incorrect specific prevalence and omits the key point that true prevalence is unknown with only about 80 cases reported and many likely undiagnosed.,2.582583200011868
3,drugbank-mechanism_of_action,GPT-5.5,How does Icosapent work?,"The anti-inflammatory, antithrombotic and immunomodulatory actions of EPA is probably due to its role in eicosanoid physiology and biochemistry. Most eicosanoids are produced by the metabolism of omega-3 fatty acids, specifically, arachidonic acid. These eicosanoids, leukotriene B4 (LTB4) and thromboxane A2 (TXA2) stimulate leukocyte chemotaxis, platelet aggregation and vasoconstriction. They are thrombogenic and artherogenic. On the other hand, EPA is metabolized to leukotriene B5 (LTB5) and thromboxane A3 (TXA3), which are eicosanoids that promote vasodilation, inhibit platelet aggregation and leukocyte chemotaxis and are anti-artherogenic and anti-thrombotic. The triglyceride-lowering effect of EPA results from inhibition of lipogenesis and stimulation of fatty acid oxidation. Fatty acid oxidation of EPA occurs mainly in the mitochondria. EPA is a substrate for Prostaglandin-endoperoxide synthase 1 and 2. It also appears to affect the function and bind to the Carbohydrate responsive element binding protein (ChREBP) and to a fatty acid receptor (G-coupled receptor) known as GP40.","Icosapent ethyl is a purified form of eicosapentaenoic acid, an omega-3 fatty acid. It mainly lowers triglycerides by decreasing the liver’s production and release of triglyceride-rich VLDL particles and by increasing clearance of triglycerides from the blood.

Its cardiovascular benefit appears to go beyond triglyceride lowering. Proposed effects include reducing inflammation and oxidative stress, improving endothelial function, stabilizing atherosclerotic plaque, and making platelets less likely to clot. It is commonly used in selected patients with elevated triglycerides to reduce cardiovascular risk, often alongside statin therapy.",0.2693877551020409,0.0493827160493827,0.1551020408163265,0.8061049,0.78330594,0.79454195,5.68332380001084,9.0,8.0,9.0,10.0,"Clear and medically sound summary of triglyceride-lowering and pleiotropic cardiovascular effects, though it omits the specific EPA-derived eicosanoid mechanism highlighted in the reference.",1.894576999999117
