idx,source,model,question,reference,generated,latency_s,error,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1
0,drugbank-mechanism_of_action,GPT-5.5,How does Trimethobenzamide work?,"The mechanism of action of trimethobenzamide as determined in animals is obscure, but may involve the chemoreceptor trigger zone (CTZ), an area in the medulla oblongata through which emetic impulses are conveyed to the vomiting center; direct impulses to the vomiting center apparently are not similarly inhibited.","Trimethobenzamide is an antiemetic, meaning it helps prevent or reduce nausea and vomiting. It works mainly by acting on the chemoreceptor trigger zone in the brain, an area that detects nausea-provoking signals in the blood and can activate the vomiting center.

Its exact mechanism is not fully understood, but it is thought to reduce stimulation of this vomiting pathway, partly through antidopaminergic effects. By dampening these signals, trimethobenzamide helps decrease the urge to vomit.",12.523225799988722,,0.3934426229508197,0.11666666666666667,0.26229508196721313,0.8310733,0.84683305,0.8388792
0,drugbank-mechanism_of_action,QLoRA Qwen,How does Trimethobenzamide work?,"The mechanism of action of trimethobenzamide as determined in animals is obscure, but may involve the chemoreceptor trigger zone (CTZ), an area in the medulla oblongata through which emetic impulses are conveyed to the vomiting center; direct impulses to the vomiting center apparently are not similarly inhibited.","The mechanism of action of trimethobenzamide is unknown. It may act as an antagonist at muscarinic receptors in the gastrointestinal tract. The anticholinergic activity of this drug results from its ability to inhibit acetylcholine release by inhibiting cholinesterase, which normally degrades it.",2.7075115999905393,,0.35955056179775274,0.13793103448275862,0.3146067415730337,0.82682514,0.80683106,0.8167057
0,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Trimethobenzamide work?,"The mechanism of action of trimethobenzamide as determined in animals is obscure, but may involve the chemoreceptor trigger zone (CTZ), an area in the medulla oblongata through which emetic impulses are conveyed to the vomiting center; direct impulses to the vomiting center apparently are not similarly inhibited.","Trimethobenzamide is an antihistamine that blocks histamine receptors in the central nervous system and peripheral tissues. It also inhibits the activity of cyclooxygenase (specifically COX-1) which produces prostaglandins from arachidonic acid. Prostaglandin E2, a major metabolite of arachidonic acid, is responsible for vasodilation and is involved in allergic reactions. By blocking these pathways, trimethobenzamide reduces the release of histamine from mast cells and prevents allergic symptoms such as pruritus, rhinitis, conjunctivitis, urticaria, anaphylaxis, bronchospasm, and flushing.",0.753259999997681,,0.22580645161290325,0.01639344262295082,0.11290322580645162,0.7788408,0.78064454,0.7797416
1,drugbank-mechanism_of_action,GPT-5.5,How does Mineral oil work?,"Mineral oil sits on the surface of the skin and in spaces between cells and provides a hydrophobic barrier. This barrier prevents trans-epidermal water loss to trap water in the skin. Overall this leads to greater hydration, flexibility, and softness of the stratum corneum.","Mineral oil works mainly as a lubricant. When taken as a laxative, it coats the stool and the lining of the intestines, helping keep water in the stool so it stays softer and passes more easily.

When used on the skin, mineral oil forms a protective oily layer that reduces water loss, helping moisturize and soften dry or irritated skin. It can also soften substances like earwax by loosening and lubricating them.",5.7175742000108585,,0.3076923076923077,0.1217391304347826,0.2051282051282051,0.8154402,0.8398485,0.8274644
1,drugbank-mechanism_of_action,QLoRA Qwen,How does Mineral oil work?,"Mineral oil sits on the surface of the skin and in spaces between cells and provides a hydrophobic barrier. This barrier prevents trans-epidermal water loss to trap water in the skin. Overall this leads to greater hydration, flexibility, and softness of the stratum corneum.","Mineral oil is a non-absorbable hydrocarbon with low molecular weight that acts as an emollient and lubricant. It has been shown to improve skin barrier function, reduce inflammation, and prevent water loss from the skin.",0.6293552999850363,,0.32098765432098764,0.07594936708860758,0.22222222222222224,0.8375796,0.84523094,0.84138787
1,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Mineral oil work?,"Mineral oil sits on the surface of the skin and in spaces between cells and provides a hydrophobic barrier. This barrier prevents trans-epidermal water loss to trap water in the skin. Overall this leads to greater hydration, flexibility, and softness of the stratum corneum.","Mineral oil is an emollient that provides physical and chemical protection to the skin. It has anti-inflammatory properties which may be useful in treating dry, itchy, or scaly skin conditions such as eczema. Mineral oil also helps to reduce the appearance of fine lines and wrinkles by reducing the effects of aging on the skin.",0.3833212000026833,,0.33663366336633654,0.0808080808080808,0.198019801980198,0.8218926,0.830927,0.82638514
2,medquad,GPT-5.5,How many people are affected by prekallikrein deficiency ?,"The prevalence of prekallikrein deficiency is unknown. Approximately 80 affected individuals in about 30 families have been described in the medical literature. Because prekallikrein deficiency usually does not cause any symptoms, researchers suspect that most people with the condition are never diagnosed.","Prekallikrein deficiency is very rare. Its exact prevalence is unknown, but severe inherited prekallikrein deficiency is estimated to affect fewer than 1 in 1,000,000 people.

Only a small number of cases have been reported in the medical literature, and many people are found incidentally because the condition usually does not cause bleeding symptoms.",5.966848700016271,,0.5360824742268041,0.25263157894736843,0.3711340206185567,0.8667603,0.89548826,0.8808902
2,medquad,QLoRA Qwen,How many people are affected by prekallikrein deficiency ?,"The prevalence of prekallikrein deficiency is unknown. Approximately 80 affected individuals in about 30 families have been described in the medical literature. Because prekallikrein deficiency usually does not cause any symptoms, researchers suspect that most people with the condition are never diagnosed.",Prekallikrein deficiency is very rare; only about 100 cases have been reported worldwide.,0.502475899993442,,0.21818181818181817,0.11320754716981131,0.21818181818181817,0.90998423,0.84850353,0.8781692
2,medquad,QLoRA Llama-3.2,How many people are affected by prekallikrein deficiency ?,"The prevalence of prekallikrein deficiency is unknown. Approximately 80 affected individuals in about 30 families have been described in the medical literature. Because prekallikrein deficiency usually does not cause any symptoms, researchers suspect that most people with the condition are never diagnosed.","Prekallikrein deficiency is estimated to affect 1 in every 100,000 newborns in the United States. It occurs more frequently in people of Ashkenazi Jewish descent than in any other ethnic group.",0.2784653000126127,,0.27027027027027023,0.08333333333333333,0.2162162162162162,0.8079313,0.83851165,0.82293755
3,drugbank-mechanism_of_action,GPT-5.5,How does Icosapent work?,"The anti-inflammatory, antithrombotic and immunomodulatory actions of EPA is probably due to its role in eicosanoid physiology and biochemistry. Most eicosanoids are produced by the metabolism of omega-3 fatty acids, specifically, arachidonic acid. These eicosanoids, leukotriene B4 (LTB4) and thromboxane A2 (TXA2) stimulate leukocyte chemotaxis, platelet aggregation and vasoconstriction. They are thrombogenic and artherogenic. On the other hand, EPA is metabolized to leukotriene B5 (LTB5) and thromboxane A3 (TXA3), which are eicosanoids that promote vasodilation, inhibit platelet aggregation and leukocyte chemotaxis and are anti-artherogenic and anti-thrombotic. The triglyceride-lowering effect of EPA results from inhibition of lipogenesis and stimulation of fatty acid oxidation. Fatty acid oxidation of EPA occurs mainly in the mitochondria. EPA is a substrate for Prostaglandin-endoperoxide synthase 1 and 2. It also appears to affect the function and bind to the Carbohydrate responsive element binding protein (ChREBP) and to a fatty acid receptor (G-coupled receptor) known as GP40.","Icosapent ethyl is a purified form of eicosapentaenoic acid, an omega-3 fatty acid. It mainly lowers triglycerides by decreasing the liver’s production and release of triglyceride-rich VLDL particles and by increasing clearance of triglycerides from the blood.

Its cardiovascular benefit appears to go beyond triglyceride lowering. Proposed effects include reducing inflammation and oxidative stress, improving endothelial function, stabilizing atherosclerotic plaque, and making platelets less likely to clot. It is commonly used in selected patients with elevated triglycerides to reduce cardiovascular risk, often alongside statin therapy.",5.6833238000108395,,0.2693877551020409,0.04938271604938272,0.15510204081632653,0.8061049,0.78330594,0.79454195
3,drugbank-mechanism_of_action,QLoRA Qwen,How does Icosapent work?,"The anti-inflammatory, antithrombotic and immunomodulatory actions of EPA is probably due to its role in eicosanoid physiology and biochemistry. Most eicosanoids are produced by the metabolism of omega-3 fatty acids, specifically, arachidonic acid. These eicosanoids, leukotriene B4 (LTB4) and thromboxane A2 (TXA2) stimulate leukocyte chemotaxis, platelet aggregation and vasoconstriction. They are thrombogenic and artherogenic. On the other hand, EPA is metabolized to leukotriene B5 (LTB5) and thromboxane A3 (TXA3), which are eicosanoids that promote vasodilation, inhibit platelet aggregation and leukocyte chemotaxis and are anti-artherogenic and anti-thrombotic. The triglyceride-lowering effect of EPA results from inhibition of lipogenesis and stimulation of fatty acid oxidation. Fatty acid oxidation of EPA occurs mainly in the mitochondria. EPA is a substrate for Prostaglandin-endoperoxide synthase 1 and 2. It also appears to affect the function and bind to the Carbohydrate responsive element binding protein (ChREBP) and to a fatty acid receptor (G-coupled receptor) known as GP40.","The mechanism of action of docosahexaenoic acid (DHA) is not fully understood; however, it has been proposed that DHA may be involved in the regulation of cell growth and differentiation as well as modulation of inflammatory processes. The anti-inflammatory activity of DHA is thought to be mediated by inhibition of prostaglandin E2 (PGE<sub>2</sub>) synthesis via suppression of cyclooxygenase-1 (COX-1) and lipoxygenase pathways, which are involved in the production of PGE<sub>2</sub>. DHA may also inhibit NF-kappa B activation, a key step in inflammatory gene transcription.",1.1253778999962378,,0.2709163346613546,0.05622489959839358,0.1593625498007968,0.81891006,0.80863404,0.8137396
3,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Icosapent work?,"The anti-inflammatory, antithrombotic and immunomodulatory actions of EPA is probably due to its role in eicosanoid physiology and biochemistry. Most eicosanoids are produced by the metabolism of omega-3 fatty acids, specifically, arachidonic acid. These eicosanoids, leukotriene B4 (LTB4) and thromboxane A2 (TXA2) stimulate leukocyte chemotaxis, platelet aggregation and vasoconstriction. They are thrombogenic and artherogenic. On the other hand, EPA is metabolized to leukotriene B5 (LTB5) and thromboxane A3 (TXA3), which are eicosanoids that promote vasodilation, inhibit platelet aggregation and leukocyte chemotaxis and are anti-artherogenic and anti-thrombotic. The triglyceride-lowering effect of EPA results from inhibition of lipogenesis and stimulation of fatty acid oxidation. Fatty acid oxidation of EPA occurs mainly in the mitochondria. EPA is a substrate for Prostaglandin-endoperoxide synthase 1 and 2. It also appears to affect the function and bind to the Carbohydrate responsive element binding protein (ChREBP) and to a fatty acid receptor (G-coupled receptor) known as GP40.","Icosapent is an omega-3 fatty acid derivative that has anti-inflammatory properties. It inhibits the production of thromboxane A2 and prostaglandin E2, which are mediators of platelet aggregation and inflammation respectively. In addition, icosapent has been shown to inhibit the synthesis of eicosanoids via inhibition of cyclooxygenase (COX) enzymes. Icosapent is also a potent inhibitor of leukotriene synthesis by inhibiting 5-lipoxygenase activity.",0.5512798999843653,,0.31674208144796384,0.0821917808219178,0.18099547511312217,0.8579961,0.8251257,0.8412399
